,Algorithm,Run,Step,vehicle,x,y
528,Lawnmower,0,132,0,41,25
529,Lawnmower,0,132,1,45,28
530,Lawnmower,0,132,2,44,23
531,Lawnmower,0,132,3,41,28
532,Lawnmower,0,133,0,41,26
533,Lawnmower,0,133,1,45,29
534,Lawnmower,0,133,2,44,24
535,Lawnmower,0,133,3,41,29
536,Lawnmower,0,134,0,41,27
537,Lawnmower,0,134,1,45,30
538,Lawnmower,0,134,2,44,25
539,Lawnmower,0,134,3,41,30
540,Lawnmower,0,135,0,41,28
541,Lawnmower,0,135,1,45,31
542,Lawnmower,0,135,2,44,26
543,Lawnmower,0,135,3,41,31
544,Lawnmower,0,136,0,41,29
545,Lawnmower,0,136,1,45,32
546,Lawnmower,0,136,2,44,27
547,Lawnmower,0,136,3,41,32
548,Lawnmower,0,137,0,42,28
549,Lawnmower,0,137,1,46,31
550,Lawnmower,0,137,2,45,26
551,Lawnmower,0,137,3,42,31
552,Lawnmower,0,138,0,43,27
553,Lawnmower,0,138,1,47,30
554,Lawnmower,0,138,2,46,25
555,Lawnmower,0,138,3,43,30
556,Lawnmower,0,139,0,44,26
557,Lawnmower,0,139,1,48,29
558,Lawnmower,0,139,2,47,24
559,Lawnmower,0,139,3,44,29
560,Lawnmower,0,140,0,44,27
561,Lawnmower,0,140,1,48,30
562,Lawnmower,0,140,2,47,25
563,Lawnmower,0,140,3,44,30
564,Lawnmower,0,141,0,44,28
565,Lawnmower,0,141,1,48,31
566,Lawnmower,0,141,2,47,26
567,Lawnmower,0,141,3,44,31
568,Lawnmower,0,142,0,44,29
569,Lawnmower,0,142,1,48,32
570,Lawnmower,0,142,2,47,27
571,Lawnmower,0,142,3,44,32
572,Lawnmower,0,143,0,44,30
573,Lawnmower,0,143,1,48,33
574,Lawnmower,0,143,2,47,28
575,Lawnmower,0,143,3,44,33
576,Lawnmower,0,144,0,45,29
577,Lawnmower,0,144,1,49,32
578,Lawnmower,0,144,2,48,27
579,Lawnmower,0,144,3,45,32
580,Lawnmower,0,145,0,46,28
581,Lawnmower,0,145,1,50,31
582,Lawnmower,0,145,2,49,26
583,Lawnmower,0,145,3,46,31
584,Lawnmower,0,146,0,46,27
585,Lawnmower,0,146,1,50,30
586,Lawnmower,0,146,2,49,25
587,Lawnmower,0,146,3,46,30
588,Lawnmower,0,147,0,45,28
589,Lawnmower,0,147,1,49,31
590,Lawnmower,0,147,2,48,26
591,Lawnmower,0,147,3,45,31
592,Lawnmower,0,148,0,44,29
593,Lawnmower,0,148,1,48,32
594,Lawnmower,0,148,2,47,27
595,Lawnmower,0,148,3,44,32
596,Lawnmower,0,149,0,43,30
597,Lawnmower,0,149,1,47,33
598,Lawnmower,0,149,2,46,28
599,Lawnmower,0,149,3,43,33
600,Lawnmower,0,150,0,43,29
601,Lawnmower,0,150,1,47,32
602,Lawnmower,0,150,2,46,27
603,Lawnmower,0,150,3,43,32
604,Lawnmower,0,151,0,43,28
605,Lawnmower,0,151,1,47,31
606,Lawnmower,0,151,2,46,26
607,Lawnmower,0,151,3,43,31
608,Lawnmower,0,152,0,43,27
609,Lawnmower,0,152,1,47,30
610,Lawnmower,0,152,2,46,25
611,Lawnmower,0,152,3,43,30
612,Lawnmower,0,153,0,43,26
613,Lawnmower,0,153,1,47,29
614,Lawnmower,0,153,2,46,24
615,Lawnmower,0,153,3,43,29
616,Lawnmower,0,154,0,43,25
617,Lawnmower,0,154,1,47,28
618,Lawnmower,0,154,2,46,23
619,Lawnmower,0,154,3,43,28
620,Lawnmower,0,155,0,43,24
621,Lawnmower,0,155,1,47,27
622,Lawnmower,0,155,2,46,22
623,Lawnmower,0,155,3,43,27
624,Lawnmower,0,156,0,43,23
625,Lawnmower,0,156,1,47,26
626,Lawnmower,0,156,2,46,21
627,Lawnmower,0,156,3,43,26
628,Lawnmower,0,157,0,42,24
629,Lawnmower,0,157,1,46,27
630,Lawnmower,0,157,2,45,22
631,Lawnmower,0,157,3,42,27
632,Lawnmower,0,158,0,41,25
633,Lawnmower,0,158,1,45,28
634,Lawnmower,0,158,2,44,23
635,Lawnmower,0,158,3,41,28
636,Lawnmower,0,159,0,40,26
637,Lawnmower,0,159,1,44,29
638,Lawnmower,0,159,2,43,24
639,Lawnmower,0,159,3,40,29
640,Lawnmower,0,160,0,39,27
641,Lawnmower,0,160,1,43,30
642,Lawnmower,0,160,2,42,25
643,Lawnmower,0,160,3,39,30
644,Lawnmower,0,161,0,38,28
645,Lawnmower,0,161,1,42,31
646,Lawnmower,0,161,2,41,26
647,Lawnmower,0,161,3,38,31
648,Lawnmower,0,162,0,37,29
649,Lawnmower,0,162,1,41,32
650,Lawnmower,0,162,2,40,27
651,Lawnmower,0,162,3,37,32
652,Lawnmower,0,163,0,37,28
653,Lawnmower,0,163,1,41,31
654,Lawnmower,0,163,2,40,26
655,Lawnmower,0,163,3,37,31
656,Lawnmower,0,164,0,37,27
657,Lawnmower,0,164,1,41,30
658,Lawnmower,0,164,2,40,25
659,Lawnmower,0,164,3,37,30
660,Lawnmower,0,165,0,37,26
661,Lawnmower,0,165,1,41,29
662,Lawnmower,0,165,2,40,24
663,Lawnmower,0,165,3,37,29
664,Lawnmower,0,166,0,37,25
665,Lawnmower,0,166,1,41,28
666,Lawnmower,0,166,2,40,23
667,Lawnmower,0,166,3,37,28
668,Lawnmower,0,167,0,37,24
669,Lawnmower,0,167,1,41,27
670,Lawnmower,0,167,2,40,22
671,Lawnmower,0,167,3,37,27
672,Lawnmower,0,168,0,37,23
673,Lawnmower,0,168,1,41,26
674,Lawnmower,0,168,2,40,21
675,Lawnmower,0,168,3,37,26
676,Lawnmower,0,169,0,37,22
677,Lawnmower,0,169,1,41,25
678,Lawnmower,0,169,2,40,20
679,Lawnmower,0,169,3,37,25
680,Lawnmower,0,170,0,37,21
681,Lawnmower,0,170,1,41,24
682,Lawnmower,0,170,2,40,19
683,Lawnmower,0,170,3,37,24
684,Lawnmower,0,171,0,37,20
685,Lawnmower,0,171,1,41,23
686,Lawnmower,0,171,2,40,18
687,Lawnmower,0,171,3,37,23
688,Lawnmower,1,0,0,24,21
689,Lawnmower,1,0,1,28,24
690,Lawnmower,1,0,2,27,19
691,Lawnmower,1,0,3,24,24
692,Lawnmower,1,1,0,24,22
693,Lawnmower,1,1,1,28,25
694,Lawnmower,1,1,2,27,20
695,Lawnmower,1,1,3,24,25
696,Lawnmower,1,2,0,24,23
697,Lawnmower,1,2,1,28,26
698,Lawnmower,1,2,2,27,21
699,Lawnmower,1,2,3,24,26
700,Lawnmower,1,3,0,24,22
701,Lawnmower,1,3,1,28,25
702,Lawnmower,1,3,2,27,20
703,Lawnmower,1,3,3,24,25
704,Lawnmower,1,4,0,24,21
705,Lawnmower,1,4,1,28,24
706,Lawnmower,1,4,2,27,19
707,Lawnmower,1,4,3,24,24
708,Lawnmower,1,5,0,24,20
709,Lawnmower,1,5,1,28,23
710,Lawnmower,1,5,2,27,18
711,Lawnmower,1,5,3,24,23
712,Lawnmower,1,6,0,24,19
713,Lawnmower,1,6,1,28,22
714,Lawnmower,1,6,2,27,17
715,Lawnmower,1,6,3,24,22
716,Lawnmower,1,7,0,24,18
717,Lawnmower,1,7,1,28,21
718,Lawnmower,1,7,2,27,16
719,Lawnmower,1,7,3,24,21
720,Lawnmower,1,8,0,24,17
721,Lawnmower,1,8,1,28,20
722,Lawnmower,1,8,2,27,15
723,Lawnmower,1,8,3,24,20
724,Lawnmower,1,9,0,24,16
725,Lawnmower,1,9,1,28,19
726,Lawnmower,1,9,2,27,14
727,Lawnmower,1,9,3,24,19
728,Lawnmower,1,10,0,24,15
729,Lawnmower,1,10,1,28,18
730,Lawnmower,1,10,2,27,13
